idx,base wm success old init,specialist wm success old init,base wm success new condition,specialist wm success new condition,,avgs,
0,0.5,1,0.75,0.75,,base wm success old condition,0.78125
1,1,0.75,0.5,1,,specialist wm success old condition,0.90625
2,0.75,1,0.75,1,,base wm success new condition,0.75
3,0.75,0.75,0.75,0.75,,specialist wm success new condition,0.95
4,1,0.75,0.75,1,,overall base wm success,0.7720588235
5,1,1,1,1,,overall specialist wm success,0.9191176471
6,0.75,1,0.5,1,,,
7,0.75,0.75,1,1,,,
8,0.75,1,0.75,1,,,
9,1,1,0.75,1,,,
10,0.75,1,,,,,
11,0.75,0.75,,,,,
12,0.75,0.75,,,,,
13,0.75,1,,,,,
14,0.5,1,,,,,
15,1,1,,,,,
16,0.5,1,,,,,
17,1,1,,,,,
18,0.5,0.75,,,,,
19,0.5,0.75,,,,,
20,0.75,1,,,,,
21,1,1,,,,,
22,1,0.75,,,,,
23,0.75,1,,,,,
