policy_name,binary_success,partial_success,count
pi0_droid,0.09911242603550297,0.33888313609467474,676
paligemma_vq_droid,0.14992272024729522,0.41927357032457474,647
paligemma_fast_specialist_droid,0.1674491392801252,0.44035211267605634,639
pi0_fast_droid,0.18404907975460122,0.4465107361963189,652
paligemma_fast_droid,0.1704718417047184,0.43934550989345506,657
paligemma_diffusion_droid,0.13707165109034267,0.40390965732087225,642
paligemma_binning_droid,0.015600624024960999,0.07285491419656788,641
pi05_droid,0.2711864406779661,0.5372881355932204,59
