env,trial #,success,avg,directory: openpi-eval/ranking_towel_pi0
towel centred,1,1,0.6333333333,
towel low,2,0.75,,
towel high,3,0.75,,
towel shifted left,4,0.25,,
towel shifted right,5,0.25,,
rotated right,6,1,,
rotated left,7,0.75,,
towel centred,8,0.75,,
towel centred,9,0.25,,
towel centred,10,0.25,,
CLS,11,0.75,,
BCR,12,0.5,,
CRR,13,1,,
BLS,14,0.75,,
TLR,15,0.5,,
BCR,16,0,,
TLS,17,0.75,,
TLR,18,0.75,,
BRL,19,0.5,,
TRS,20,0.5,,
BCL,21,0.25,,
BRL,22,0.75,,
CCS,23,0.75,,
CRR,24,0.5,,
BRL,25,0.25,,
TCS,26,0.25,,
TCL,27,1,,
CCS,28,1,,
TCR,29,0.75,,
BLS,30,0.75,,
CLS,31,0.75,,
BRS,32,0.75,,
CCS,33,0.75,,
TCS,34,1,,
BCS,35,0.75,,
CCL,36,0.25,,
CCS,37,1,,
TLR,38,0.75,,
BRL,39,0.5,,
TCL,40,0.75,,
CCL,41,0.25,,
CLL,42,0.75,,
CRR,43,0.75,,
TLS,44,0.75,,
TCS,45,0.75,,
TCL,46,0.75,,
BLS,47,0.5,,
CCS,48,1,,
CCL,49,0.75,,
BLR,50,0.75,,
TRS,51,0.75,,
BCS,52,1,,
CCR,53,0.5,,
BRS,54,0.75,,
BRS,55,0.75,,
TLR,56,0.75,,
CLS,57,0.75,,
BCL,58,0,,
BCS,59,0.75,,
TCS,60,0.75,,
TCS,61,0.25,,
TCR,62,0.5,,
TCR,63,0.5,,
BLL,64,0.75,,
TLR,65,1,,
CCR,66,1,,
BRS,67,0,,
TRL,68,0.25,,
TLR,69,1,,
CRS,70,0.25,,
CCR,71,0.75,,
TLS,72,0.75,,
CLS,73,0.5,,
TCR,74,0.5,,
TRR,75,0.25,,
